program counter,branch history,actual outcome,predicted outcome
00000007,0000000000000000,0,0
0000000C,0000000000000000,1,0
00000007,1000000000000000,0,0
0000000C,0100000000000000,1,0
00000007,1010000000000000,0,0
0000000C,0101000000000000,1,0
00000007,1010100000000000,0,0
0000000C,0101010000000000,1,1
00000007,1010101000000000,0,0
0000000C,0101010100000000,1,1
00000007,1010101010000000,0,0
0000000C,0101010101000000,1,1
00000007,1010101010100000,0,0
0000000C,0101010101010000,1,1
00000007,1010101010101000,0,0
0000000C,0101010101010100,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,0,0
0000000C,0101010101010101,1,1
00000007,1010101010101010,1,0
0000000E,1101010101010101,0,0
00000012,0110101010101010,0,0
00000017,0011010101010101,0,1
0000001B,0001101010101010,1,0
00000012,1000110101010101,0,0
00000017,0100011010101010,0,0
0000001B,0010001101010101,1,1
00000012,1001000110101010,0,0
00000017,0100100011010101,0,1
0000001B,0010010001101010,1,1
00000012,1001001000110101,0,0
00000017,0100100100011010,0,0
0000001B,0010010010001101,1,1
00000012,1001001001000110,0,0
00000017,0100100100100011,0,0
0000001B,0010010010010001,1,1
00000012,1001001001001000,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,1,0
0000001D,1100100100100100,1,1
0000000E,1110010010010010,0,0
00000012,0111001001001001,0,0
00000017,0011100100100100,0,0
0000001B,0001110010010010,1,1
00000012,1000111001001001,0,0
00000017,0100011100100100,0,0
0000001B,0010001110010010,1,1
00000012,1001000111001001,0,0
00000017,0100100011100100,0,0
0000001B,0010010001110010,1,1
00000012,1001001000111001,0,0
00000017,0100100100011100,0,0
0000001B,0010010010001110,1,1
00000012,1001001001000111,0,0
00000017,0100100100100011,0,0
0000001B,0010010010010001,1,1
00000012,1001001001001000,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
00000017,0100100100100100,0,0
0000001B,0010010010010010,1,1
00000012,1001001001001001,0,0
